Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"EXPN.L","EXPERIAN PLC","Industrials","Equity","41,412,489.98","1.45","41,412,489.98","1,133,018.00","36.55","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"BARC.L","BARCLAYS PLC","Financials","Equity","37,858,313.63","1.33","37,858,313.63","19,164,524.00","1.98","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"AHT.L","ASHTEAD GROUP PLC","Industrials","Equity","36,117,016.85","1.27","36,117,016.85","540,602.00","66.81","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"SSE.L","SSE PLC","Utilities","Equity","31,065,396.00","1.09","31,065,396.00","1,344,030.00","23.11","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"III.L","3I GROUP PLC","Financials","Equity","30,115,477.29","1.06","30,115,477.29","1,202,506.00","25.04","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"TSCO.L","TESCO PLC","Consumer Staples","Equity","29,624,852.77","1.04","29,624,852.77","9,020,859.00","3.28","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"VOD.L","VODAFONE GROUP PLC","Communication","Equity","26,281,921.13","0.92","26,281,921.13","28,277,365.00","0.93","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"HLN.L","HALEON PLC","Consumer Staples","Equity","25,468,597.51","0.89","25,468,597.51","6,258,678.00","4.07","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"RTO.L","RENTOKIL INITIAL PLC","Industrials","Equity","25,332,164.50","0.89","25,332,164.50","3,106,356.00","8.15","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"STAN.L","STANDARD CHARTERED PLC","Financials","Equity","24,819,601.72","0.87","24,819,601.72","2,966,891.00","8.37","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"IMB.L","IMPERIAL BRANDS PLC","Consumer Staples","Equity","23,364,091.22","0.82","23,364,091.22","1,082,138.00","21.59","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"NWG.L","NATWEST GROUP PLC","Financials","Equity","23,126,775.67","0.81","23,126,775.67","7,069,156.00","3.27","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"LGEN.L","LEGAL AND GENERAL GROUP PLC","Financials","Equity","21,980,244.95","0.77","21,980,244.95","7,367,982.00","2.98","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"RR.L","ROLLS-ROYCE HOLDINGS PLC","Industrials","Equity","19,317,086.60","0.68","19,317,086.60","10,311,900.00","1.87","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"AV.L","AVIVA PLC","Financials","Equity","17,366,164.96","0.61","17,366,164.96","3,433,629.00","5.06","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"BNZL.L","BUNZL","Industrials","Equity","16,305,522.20","0.57","16,305,522.20","417,207.00","39.08","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"SN.L","SMITH AND NEPHEW PLC","Health Care","Equity","16,137,363.33","0.57","16,137,363.33","1,075,552.00","15.00","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"BT-A.L","BT GROUP PLC","Communication","Equity","15,871,345.18","0.56","15,871,345.18","8,581,585.00","1.85","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
