Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
CUTR,CUTERA INC,Health Care,Equity,"6,274,266.18",0.01,"6,274,266.18","377,286.00",16.63,United States,NASDAQ,USD,1,USD,-
QUOT,QUOTIENT TECHNOLOGY INC,Communication,Equity,"6,265,476.22",0.01,"6,265,476.22","2,074,661.00",3.02,United States,New York Stock Exchange Inc.,USD,1,USD,-
BBW,BUILD A BEAR WORKSHOP INC,Consumer Discretionary,Equity,"6,260,658.48",0.01,"6,260,658.48","303,768.00",20.61,United States,New York Stock Exchange Inc.,USD,1,USD,-
BAND,BANDWIDTH INC CLASS A,Communication,Equity,"6,217,697.10",0.01,"6,217,697.10","517,710.00",12.01,United States,NASDAQ,USD,1,USD,-
HIPO,HIPPO HOLDINGS INC,Financials,Equity,"6,205,122.72",0.01,"6,205,122.72","387,336.00",16.02,United States,New York Stock Exchange Inc.,USD,1,USD,-
FWRG,FIRST WATCH RESTAURANT GROUP INC,Consumer Discretionary,Equity,"6,170,300.28",0.01,"6,170,300.28","342,414.00",18.02,United States,NASDAQ,USD,1,USD,-
NWPX,NORTHWEST PIPE,Industrials,Equity,"6,164,755.00",0.01,"6,164,755.00","217,375.00",28.36,United States,NASDAQ,USD,1,USD,-
FARO,FARO TECHNOLOGIES INC,Information Technology,Equity,"6,129,818.81",0.01,"6,129,818.81","416,711.00",14.71,United States,NASDAQ,USD,1,USD,-
PFHC,PROFRAC HOLDING CORP,Energy,Equity,"6,119,996.48",0.01,"6,119,996.48","522,184.00",11.72,United States,NASDAQ,USD,1,USD,-
NRDS,NERDWALLET INC CLASS A,Financials,Equity,"6,108,599.74",0.01,"6,108,599.74","582,326.00",10.49,United States,NASDAQ,USD,1,USD,-
STRO,SUTRO BIOPHARMA INC,Health Care,Equity,"6,102,206.13",0.01,"6,102,206.13","1,222,887.00",4.99,United States,NASDAQ,USD,1,USD,-
ICPT,INTERCEPT PHARMACEUTICALS INC,Health Care,Equity,"6,093,659.97",0.01,"6,093,659.97","544,563.00",11.19,United States,NASDAQ,USD,1,USD,-
BLNK,BLINK CHARGING,Industrials,Equity,"6,087,594.84",0.01,"6,087,594.84","957,169.00",6.36,United States,NASDAQ,USD,1,USD,-
PAHC,PHIBRO ANIMAL HEALTH CORP CLASS A,Health Care,Equity,"6,090,543.42",0.01,"6,090,543.42","459,317.00",13.26,United States,NASDAQ,USD,1,USD,-
CSTR,CAPSTAR FINANCIAL HOLDINGS INC,Financials,Equity,"6,077,274.58",0.01,"6,077,274.58","481,559.00",12.62,United States,NASDAQ,USD,1,USD,-
CRBU,CARIBOU BIOSCIENCES INC,Health Care,Equity,"6,080,595.66",0.01,"6,080,595.66","1,274,758.00",4.77,United States,NASDAQ,USD,1,USD,-
ALRS,ALERUS FINANCIAL CORP,Financials,Equity,"6,046,247.04",0.01,"6,046,247.04","350,304.00",17.26,United States,NASDAQ,USD,1,USD,-
UIS,UNISYS CORP,Information Technology,Equity,"6,044,504.31",0.01,"6,044,504.31","1,499,877.00",4.03,United States,New York Stock Exchange Inc.,USD,1,USD,-
PSFE,PAYSAFE LTD,Financials,Equity,"6,039,535.50",0.01,"6,039,535.50","633,075.00",9.54,United States,New York Stock Exchange Inc.,USD,1,USD,-
FMAO,FARMERS AND MERCHANTS BANCORP INC,Financials,Equity,"6,033,816.04",0.01,"6,033,816.04","271,916.00",22.19,United States,NASDAQ,USD,1,USD,-
TPC,TUTOR PERINI CORP,Industrials,Equity,"6,006,854.98",0.01,"6,006,854.98","951,958.00",6.31,United States,New York Stock Exchange Inc.,USD,1,USD,-
DSKE,DASEKE INC,Industrials,Equity,"5,999,290.38",0.01,"5,999,290.38","913,134.00",6.57,United States,NASDAQ,USD,1,USD,-
